taxon_key,taxon_name,common_name,genus,species
600006,Coryphaena hippurus,Common dolphinfish,Coryphaena,hippurus
600077,Istiophorus platypterus,Indo-Pacific sailfish,Istiophorus,platypterus
600080,Chanos chanos,Milkfish,Chanos,chanos
600083,Aphareus rutilans,Rusty jobfish,Aphareus,rutilans
600088,Lamna nasus,Porbeagle,Lamna,nasus
600089,Acanthocybium solandri,Wahoo,Acanthocybium,solandri
600090,Cetorhinus maximus,Basking shark,Cetorhinus,maximus
600093,Auxis rochei,Bullet tuna,Auxis,rochei
600094,Auxis thazard,Frigate tuna,Auxis,thazard
600096,Euthynnus affinis,Kawakawa,Euthynnus,affinis
600106,Gymnosarda unicolor,Dogtooth tuna,Gymnosarda,unicolor
600107,Katsuwonus pelamis,Skipjack tuna,Katsuwonus,pelamis
600109,Rastrelliger brachysoma,Short mackerel,Rastrelliger,brachysoma
600111,Rastrelliger kanagurta,Indian mackerel,Rastrelliger,kanagurta
600114,Sarda orientalis,Striped bonito,Sarda,orientalis
600116,Scomber australasicus,Blue mackerel,Scomber,australasicus
600117,Scomber japonicus,Chub mackerel,Scomber,japonicus
600121,Scomberomorus commerson,Narrowbarred Spanish mackerel,Scomberomorus,commerson
600123,Scomberomorus guttatus,Indo-Pacific king mackerel,Scomberomorus,guttatus
600139,Squalus acanthias,Piked dogfish,Squalus,acanthias
600142,Thunnus alalunga,Albacore,Thunnus,alalunga
600143,Thunnus albacares,Yellowfin tuna,Thunnus,albacares
600145,Thunnus maccoyii,Southern bluefin tuna,Thunnus,maccoyii
600146,Thunnus obesus,Bigeye tuna,Thunnus,obesus
600148,Thunnus tonggol,Longtail tuna,Thunnus,tonggol
600156,Lutjanus kasmira,Common bluestripe snapper,Lutjanus,kasmira
600162,Lutjanus malabaricus,Malabar blood snapper,Lutjanus,malabaricus
600172,Lutjanus quinquelineatus,Fivelined snapper,Lutjanus,quinquelineatus
600201,Pristipomoides filamentosus,Crimson jobfish,Pristipomoides,filamentosus
600208,Pristipomoides multidens,Goldbanded jobfish,Pristipomoides,multidens
600217,Istiompax indica,Black marlin,Istiompax,indica
600218,Makaira mazara,Indo-Pacific blue marlin,Makaira,mazara
600223,Kajikia audax,Striped marlin,Kajikia,audax
600226,Xiphias gladius,Swordfish,Xiphias,gladius
600227,Megalops cyprinoides,Indo-Pacific tarpon,Megalops,cyprinoides
600249,Centrolophus niger,Rudderfish,Centrolophus,niger
600260,Harpadon nehereus,Bombay duck,Harpadon,nehereus
600261,Lutjanus fulviflamma,Dory snapper,Lutjanus,fulviflamma
600264,Lutjanus johnii,Johns snapper,Lutjanus,johnii
600265,Lutjanus gibbus,Humpback red snapper,Lutjanus,gibbus
600298,Muraenesox cinereus,Daggertooth pike conger,Muraenesox,cinereus
600320,Micromesistius australis,Southern blue whiting,Micromesistius,australis
600322,Merluccius australis,Southern hake,Merluccius,australis
600334,Hoplostethus atlanticus,Orange roughy,Hoplostethus,atlanticus
600340,Eleutheronema tetradactylum,Fourfinger threadfin,Eleutheronema,tetradactylum
600346,Lates calcarifer,Barramundi,Lates,calcarifer
600350,Polyprion oxygeneios,Hapuka,Polyprion,oxygeneios
600356,Priacanthus macracanthus,Red bigeye,Priacanthus,macracanthus
600363,Lactarius lactarius,False trevally,Lactarius,lactarius
600364,Pomatomus saltatrix,Bluefish,Pomatomus,saltatrix
600372,Trachurus declivis,Greenback horse mackerel,Trachurus,declivis
600374,Decapterus russelli,Indian scad,Decapterus,russelli
600382,Seriola lalandi,Yellowtail amberjack,Seriola,lalandi
600384,Megalaspis cordyla,Torpedo scad,Megalaspis,cordyla
600387,Selar crumenophthalmus,Bigeye scad,Selar,crumenophthalmus
600388,Selaroides leptolepis,Yellowstripe scad,Selaroides,leptolepis
600390,Mene maculata,Moonfish,Mene,maculata
600391,Brama brama,Atlantic pomfret,Brama,brama
600392,Arripis georgianus,Ruff,Arripis,georgianus
600395,Emmelichthys nitidus nitidus,Cape bonnetmouth,Emmelichthys,nitidus nitidus
600396,Nemipterus virgatus,Golden threadfin bream,Nemipterus,virgatus
600399,Pomadasys argenteus,Silver grunt,Pomadasys,argenteus
600412,Elagatis bipinnulata,Rainbow runner,Elagatis,bipinnulata
600420,Atractoscion aequidens,Geelbeck croaker,Atractoscion,aequidens
600442,Argyrops spinifer,King soldierbream,Argyrops,spinifer
600454,Drepane punctata,Spotted sicklefish,Drepane,punctata
600464,Parapercis colias,New Zealand blue cod,Parapercis,colias
600467,Dissostichus eleginoides,Patagonian toothfish,Dissostichus,eleginoides
600482,Genypterus blacodes,Pink cusk-eel,Genypterus,blacodes
